citing_id,cited_id
472,189
472,193
472,210
472,232
472,247
472,280
472,292
472,293
472,337
472,369
472,409
472,464
472,469
472,509
472,510
472,515
472,597
472,604
472,621
472,633
472,643
472,683
472,731
472,740
472,798
472,808
472,977
472,1015
472,11114
472,11123
472,11132
472,11147
472,11253
472,11278
472,11339
472,11393
472,11436
472,11566
472,11583
472,11624
472,11742
472,11815
472,11909
472,11913
472,12098
472,12306
472,12352
472,13027
472,14017
476,38
476,40
476,41
476,70
477,38
477,40
477,43
477,56
477,106
477,108
477,133
477,335
477,11549
479,40
479,105
479,238
479,247
479,255
479,11625
480,81
480,12924
480,13164
480,13902
480,14034
481,38
481,39
481,71
481,90
481,113
481,163
481,176
481,199
481,203
481,231
481,247
481,340
481,464
481,525
481,967
482,38
482,40
482,41
482,163
482,360
482,428
482,966
482,11100
482,11568
482,12726
484,205
484,223
484,263
484,284
484,457
484,1522
484,1916
484,2479
484,11360
485,59
485,237
485,320
485,457
485,503
485,521
485,3827
485,3835
485,11174
485,11558
493,45
493,838
493,12013
493,12124
493,12479
498,38
498,39
498,40
498,41
498,51
498,54
498,56
498,77
498,113
498,122
498,266
498,699
498,2535
498,13943
500,92
500,98
500,235
500,422
500,463
500,660
500,949
500,1064
500,1791
500,1960
500,1966
500,2292
500,11163
500,11448
500,12427
500,13356
501,571
501,1421
501,1439
501,2992
501,3424
503,681
503,965
503,3422
503,3479
503,13122
506,443
509,38
509,39
509,113
509,135
509,140
509,181
509,269
509,280
509,298
509,515
509,734
509,754
509,11091
509,11596
509,12306
509,12638
509,13556
510,105
510,106
510,149
510,238
510,243
510,637
514,39
514,40
514,70
514,83
514,118
514,286
514,12593
514,14017
515,38
515,40
515,41
515,46
515,309
515,11128
515,11861
516,38
516,39
516,40
516,41
516,43
518,1493
518,2329
518,3336
518,3345
518,3531
518,3601
518,3657
518,3726
519,38
519,40
519,41
519,46
519,157
519,872
519,13318
521,101
521,259
521,503
521,1401
521,1744
521,2078
523,39
523,40
523,51
523,58
523,113
523,174
523,283
523,11220
523,11640
523,13027
524,38
524,39
524,88
524,110
524,188
524,13106
525,38
525,40
525,41
525,118
525,181
525,519
525,11696
525,12636
526,40
526,41
526,11785
527,9
527,10
527,712
527,906
527,1035
527,1067
527,1359
527,1375
527,1379
527,1381
527,1389
527,1406
527,1421
527,1495
527,1816
527,1845
527,1881
527,1893
527,2009
527,2466
527,2468
527,2471
527,2525
527,3279
527,3291
527,3294
527,3377
527,3422
527,3619
527,3726
527,3810
527,3845
527,11386
527,11589
527,11739
527,12151
527,12454
527,13445
527,13781
528,38
528,88
528,122
528,130
528,138
528,168
528,492
528,504
528,524
528,537
528,561
528,691
528,966
528,11097
528,11111
528,13749
529,51
529,55
529,89
529,180
529,199
529,639
529,11920
529,12462
529,13354
529,13946
530,54
530,81
530,85
530,245
530,288
530,289
530,291
530,394
530,11261
530,11698
530,11854
530,12064
530,12198
530,12286
530,12908
530,13587
530,13882
530,13887
530,13896
530,13907
530,13914
530,13955
530,13987
530,14028
530,14054
530,14073
530,14203
530,14206
530,14214
530,14215
530,14234
530,14236
531,39
531,50
531,133
531,211
531,310
531,415
531,481
531,603
532,38
532,41
532,43
532,68
532,71
532,88
532,89
532,110
532,112
532,188
532,193
532,497
532,11393
532,12069
534,40
534,43
534,55
534,281
534,639
534,11535
534,13154
534,13946
536,38
536,39
536,40
536,41
536,56
536,68
536,74
536,89
536,133
536,136
536,176
536,266
536,371
536,399
536,516
536,707
536,793
536,870
536,11179
537,39
537,51
537,89
537,163
537,167
537,346
537,360
537,363
537,400
537,481
537,489
537,492
537,11132
537,11352
537,11534
537,12130
538,71
538,74
538,124
538,241
538,310
538,327
538,344
538,372
538,393
538,626
538,678
538,904
538,1098
538,11206
538,11297
538,11537
538,11568
540,2246
541,50
541,112
541,144
541,240
541,241
541,915
541,11334
541,12031
541,12658
543,38
543,41
543,68
543,71
543,74
543,88
543,90
543,106
543,133
543,180
543,188
543,199
543,276
543,292
543,293
543,525
543,633
543,11214
549,59
549,127
549,263
549,270
549,1789
549,3840
549,11142
552,38
552,40
552,43
552,46
552,150
552,157
552,210
552,569
552,11139
562,1369
562,2535
567,59
567,270
567,2052
567,2080
567,11130
567,12925
572,471
573,38
573,40
573,41
573,46
573,119
574,42
574,710
574,1028
574,1077
574,1996
574,12686
577,38
577,39
577,40
577,41
577,43
577,56
577,71
577,89
577,90
577,122
577,163
577,167
577,180
577,264
577,366
577,477
577,928
577,11596
577,12683
577,13628
578,60
578,204
579,87
579,144
579,153
579,630
579,685
579,11088
579,11215
579,11693
580,93
580,113
580,130
580,133
580,180
580,189
580,222
580,238
580,255
580,266
580,424
580,489
580,581
580,11123
580,11547
580,12211
580,12960
587,44
587,116
587,125
587,198
587,209
587,1354
587,1449
587,1515
587,3343
587,3417
587,3432
587,3438
587,3511
587,3550
587,3564
587,3601
587,3617
587,5599
587,10591
587,10594
587,11502
587,14181
592,38
592,40
592,41
592,113
592,175
592,181
592,256
592,268
592,269
592,286
592,329
592,369
592,509
592,515
592,760
592,859
592,880
592,11097
592,11861
601,72
601,11465
602,9
602,1375
602,1449
602,1468
602,3012
602,3297
602,3303
602,3587
602,11468
602,14012
606,78
606,161
606,198
606,237
606,448
606,1512
606,3690
606,13316
606,14018
606,14035
606,14330
608,38
608,52
608,58
608,94
608,122
608,130
608,171
608,305
608,380
608,414
608,418
608,528
608,599
608,661
608,725
608,749
608,791
608,806
608,883
608,11117
608,11135
608,12398
610,105
610,106
610,11472
611,50
611,82
611,120
611,157
611,188
611,392
611,435
611,820
611,829
611,11866
611,12602
611,12712
613,1379
613,1493
613,3277
613,3281
613,3296
613,3305
613,3309
615,39
615,118
615,754
615,11960
615,13946
616,147
616,178
616,207
616,215
616,271
616,273
616,322
616,327
616,339
616,370
616,492
616,545
616,554
616,638
616,691
616,736
616,908
616,936
616,938
616,11127
616,11199
616,11353
616,12078
616,13063
616,13456
618,129
618,809
618,11632
623,225
623,670
623,926
623,1808
623,13069
624,42
624,67
624,78
624,102
624,162
624,420
624,457
624,484
624,1515
624,1837
624,2145
624,3883
624,11562
624,11881
624,12599
624,13510
624,14462
632,129
632,1025
632,1810
632,1886
632,14330
634,45
634,12013
635,38
635,40
635,77
635,83
635,118
635,11219
637,40
637,43
637,56
637,70
637,71
637,106
637,133
637,136
637,232
637,243
637,516
637,12840
638,40
638,43
638,89
638,108
638,113
638,232
638,340
638,639
638,13220
639,38
639,40
639,46
639,56
639,106
639,123
639,210
639,247
641,208
641,11915
641,14430
642,41
642,71
642,175
642,200
642,203
642,242
642,256
642,286
642,573
642,859
642,12023
642,12084
648,462
648,1014
653,386
653,3738
653,3749
653,3769
653,10607
660,1465
660,1960
660,2990
665,96
665,148
665,208
665,297
665,367
665,398
665,1515
665,3883
665,12755
665,14430
667,38
667,40
667,70
667,150
667,11561
670,1419
670,1445
670,1831
670,11333
670,11992
671,284
671,1785
671,12125
676,284
676,853
676,11734
677,208
677,398
677,14430
680,13958
681,76
681,468
681,3442
681,3617
684,1493
684,1500
684,3136
684,3345
696,155
696,827
696,1034
696,1829
699,134
699,13882
699,13902
699,13949
699,13950
699,14031
700,670
700,772
700,1026
700,1404
700,1734
700,11333
701,59
701,1515
705,1893
705,3550
710,42
710,49
710,59
710,72
710,448
710,453
710,503
710,549
710,700
710,1036
710,1077
710,1734
710,1781
710,12041
710,12062
710,12848
710,12958
710,13421
710,13637
712,962
712,1495
712,1746
712,2468
712,3106
712,11333
719,65
719,152
719,457
719,1354
719,1510
719,1706
719,1713
719,1746
719,3461
719,3587
719,3835
724,11636
724,14057
733,503
733,1086
733,1439
733,1495
733,1526
733,1851
733,3422
733,3863
733,11807
733,12262
733,12925
739,54
739,73
739,462
739,699
739,842
739,1369
739,1515
739,11295
739,11636
739,12587
739,12908
739,13006
739,13347
739,13876
739,13882
739,13943
739,13947
739,13949
739,13992
741,430
741,2054
741,13882
741,14068
743,54
743,81
743,85
743,110
743,120
743,182
743,202
743,294
743,358
743,382
743,430
743,640
743,724
743,730
743,846
743,1515
743,1791
743,2950
743,11140
743,11143
743,12430
743,12900
743,13889
743,13893
743,13894
743,13943
743,13950
743,13994
743,14017
743,14429
743,14462
754,38
754,40
754,118
754,1009
754,11434
754,12084
754,12679
754,12797
754,13946
756,38
756,39
756,41
756,50
756,51
756,82
756,121
756,128
756,144
756,159
756,160
756,196
756,197
756,216
756,240
756,246
756,351
756,357
756,404
756,410
756,598
756,1072
756,11092
756,11115
756,11855
756,12070
757,245
757,11613
757,13887
757,13914
757,13931
757,13981
757,14345
758,38
758,39
758,40
758,97
758,513
759,1504
760,38
760,40
760,41
760,43
760,56
760,77
760,133
760,175
760,256
760,286
761,45
761,838
761,12013
761,12124
761,12479
761,12747
