paper_id,cluster_id,cluster_label,umap_x,umap_y
5339,0,Shared Medium Coordination,53.8113,79.4132
5379,0,Shared Medium Coordination,50.7998,85.1075
5382,0,Shared Medium Coordination,50.2882,77.1765
5390,0,Shared Medium Coordination,51.1461,73.2570
5396,0,Shared Medium Coordination,52.0274,76.5470
5467,0,Shared Medium Coordination,53.6300,77.4343
5484,0,Shared Medium Coordination,49.6237,74.9207
5490,0,Shared Medium Coordination,54.2170,78.2518
5496,0,Shared Medium Coordination,49.5081,74.0463
5514,0,Shared Medium Coordination,58.5267,89.0225
5520,0,Shared Medium Coordination,53.5990,79.8615
5537,0,Shared Medium Coordination,49.5650,78.0997
5649,0,Shared Medium Coordination,59.5443,79.5211
5675,0,Shared Medium Coordination,54.5088,80.1097
5677,0,Shared Medium Coordination,51.8113,64.6821
5720,0,Shared Medium Coordination,54.7658,70.6108
5736,0,Shared Medium Coordination,50.3432,84.2643
5739,0,Shared Medium Coordination,45.2936,83.8294
5768,0,Shared Medium Coordination,44.0585,78.6330
5826,0,Shared Medium Coordination,60.5357,73.9154
5882,0,Shared Medium Coordination,54.1177,81.8765
5884,0,Shared Medium Coordination,43.3106,58.1086
5886,0,Shared Medium Coordination,51.9161,79.7443
5888,0,Shared Medium Coordination,50.3858,79.2219
5890,0,Shared Medium Coordination,51.1669,76.6242
5905,0,Shared Medium Coordination,43.9525,57.9399
5906,0,Shared Medium Coordination,49.1448,72.7693
5911,0,Shared Medium Coordination,51.7465,73.3775
5939,0,Shared Medium Coordination,50.8304,87.0720
5987,0,Shared Medium Coordination,56.0581,76.8278
6024,0,Shared Medium Coordination,69.8212,76.1237
6054,0,Shared Medium Coordination,56.6208,72.3031
6056,0,Shared Medium Coordination,53.0864,71.2960
6065,0,Shared Medium Coordination,57.1320,80.9045
6130,0,Shared Medium Coordination,52.5375,70.9899
6135,0,Shared Medium Coordination,55.5029,76.2103
6136,0,Shared Medium Coordination,70.4050,75.9998
6141,0,Shared Medium Coordination,54.2926,73.6610
6183,0,Shared Medium Coordination,57.2405,71.5377
6198,0,Shared Medium Coordination,44.0818,74.3734
6201,0,Shared Medium Coordination,52.8383,72.7953
6239,0,Shared Medium Coordination,79.2411,64.9022
6246,0,Shared Medium Coordination,56.0372,77.8274
6247,0,Shared Medium Coordination,54.1478,84.0166
6251,0,Shared Medium Coordination,50.8760,72.4475
6318,0,Shared Medium Coordination,48.2390,85.6531
6327,0,Shared Medium Coordination,48.5870,75.3937
6344,0,Shared Medium Coordination,59.7899,77.1232
6364,0,Shared Medium Coordination,57.8696,88.4039
6399,0,Shared Medium Coordination,47.4098,74.7057
6427,0,Shared Medium Coordination,55.5922,75.2061
